,WIDTH_sub,HEIGHT_sub,WIDTH_mem,THICKNESS_mem,WIDTH_device,HEIGHT_chamber,HEIGHT_device,strength,switching_ratio,Stalk_angle,mem_layer
128,30,1,8.825317289,2.835253112,15.85989822,8.36608765,13.24451403,26.94478035,0.983537809,25.6542383,5
129,30,1,6.631874694,1.815815898,14.67592098,2.712799376,12.68212393,23.45756912,0.986958623,-2.863285215,5
131,30,1,2.831988793,2.440224914,13.31158864,2.69467325,13.00992612,18.87920189,0.997936203,43.35281578,5
134,30,1,4.284064198,0.596276339,14.07332521,6.593705723,11.72039549,20.45843887,1.032843218,17.35744676,5
135,30,1,8.979092624,1.031367017,14.98929946,8.422902961,12.68908516,24.69261169,1.109145358,-18.30052584,5
136,30,1,3.978497352,0.219044524,15.29931417,7.504198152,14.60721661,23.44693756,1.020881445,12.20939563,5
138,30,1,5.786527403,1.461863828,17.11310272,6.179122202,14.36237819,31.51239014,0.997113714,-31.07973456,5
139,30,1,6.067372137,0.156008186,11.64798386,6.027713995,14.38300969,11.12739182,1.08850217,23.94734204,5
140,30,1,2.356418778,1.209847716,14.32564443,9.394221306,14.71446308,21.53017998,0.961100186,-47.99093593,5
141,30,1,8.069010595,0.709729713,19.99638281,3.344571304,11.93304829,40.34758377,1.062299994,-18.38670261,5
142,30,1,6.775635947,1.17242969,13.66995431,3.517086943,13.21419081,21.0401001,1.066388769,-22.42571473,5
143,30,1,8.620419251,1.106777137,11.91328099,7.792549741,11.1437598,16.19453621,1.201299575,33.54342181,5
