,Pressures,P_prime,P_star,WIDTH_sub,HEIGHT_sub,WIDTH_mem,THICKNESS_mem,WIDTH_device,HEIGHT_chamber,HEIGHT_device,Stalk_angle,mem_layer,Negative Pressure Adh Force,Pos Pressure Adh Force,Neutral Pressure Adh Force,switching_ratio
197,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.0024995163,2.1595858299,15,6.7349606031,12.2286548027,-40.6923469225,10,4.8350214958,1.584087491,4.177529335,3.0522439721
198,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,6.2153831242,1.3964311606,15,8.3350382666,11.4255592693,14.266707338,10,2.7374258041,1.973187089,4.2320995331,1.3873118365
199,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.2252721846,1.8861485996,15,5.684484368,11.4906776094,-39.7741399987,10,4.7923321724,1.4976444244,4.1262674332,3.1999132065
200,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.469674742,2.9136249799,15,3.1947242363,11.105481088,-30.0373559967,10,4.4738740921,1.6334422827,3.6521229744,2.7389238907
201,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.1371842838,2.1829410759,15,3.8051689457,14.8227157228,23.8973740832,10,4.692586422,2.2647953033,4.3835663795,2.0719693365
202,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.008858545,0.0337482397,15,8.6388126918,14.978854788,-9.6436691097,10,4.3456792831,0.8058428168,3.9104719162,5.3927133088
204,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.4368513691,1.2040363043,15,6.845970376,11.0012182723,13.8105751251,10,4.2111525536,1.2271111012,3.5071525574,3.4317614351
205,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.9216392061,0.475537408,15,4.7823896375,12.8116237062,41.1037302034,10,4.0058584213,1.6293931007,3.7023026943,2.4584972279
206,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.2593968204,1.9869546836,15,9.997020012,12.0729277054,-13.3977537361,10,4.415435791,1.4316245317,3.7844479084,3.0842135582
207,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.3935432893,2.58450165,15,2.57800012,14.1840668965,0.9711035428,10,3.7844479084,3.7844479084,3.7844479084,1
208,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,8.5432691553,1.6918813399,15,3.0298546747,11.3049669507,0.6997055364,10,4.3648524284,1.3109111786,3.5631194115,3.3296324722
209,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.0837177477,1.1837128848,15,3.9648127088,11.1250317721,-6.0881268035,10,4.6653766632,1.6561537981,4.1381030083,2.8169948157
